numero,archivo,en,es
1,0001.mp3,I'm leaving because it's raining,me voy porque esta lloviendo
2,0002.mp3,Did you take out the trash when I told you to?,¿botaste la basura cuando te dije?
3,0003.mp3,"The first thing you have to do is learn, and then you work and make money",lo primero que hay que hacer es aprender y ya luego ud trabaja y hace dinero
4,0004.mp3,Who left the bag on the table?,¿Quién dejo el bolso encima de la mesa?
5,0005.mp3,Why do I have to do that if that's not how it is?,¿Por qué tengo que hacer eso si no es así?
6,0006.mp3,"My intention isn't to bother you, it's to be nice",mi intención no es molestarte es ser lindo
7,0007.mp3,I have a lot of money and I'm going to have a lot of money,tengo y voy a tener mucho dinero
8,0008.mp3,Can you help me? Please,¿me atiendes? Por favor
9,0009.mp3,I went to buy it but it was closed,fui a comprarlo pero estaba cerrado
10,0010.mp3,We need to buy trash bags,hay que comprar bolsas de basura
11,0011.mp3,Can you tell me something?,¿puedes decirme algo?
12,0012.mp3,Lock yourself in the room,encierrese en el cuarto
13,0013.mp3,Extremely delicious,sumamente rico
14,0014.mp3,We have quite a lot of work,tenemos bastente trabajo
15,0015.mp3,What's wrong with you? What's the matter?,¿Qué tienes?¿que te pasa
16,0016.mp3,Are you going to make lunch?,¿vas hacer el almuerzo?
17,0017.mp3,Did the system have more failures yesterday?,el sistema dio mas fallos ayer?
18,0018.mp3,The best team in the world plays today,hoy juega el mejor equipo del mundo
19,0019.mp3,The worst team in the world plays today,hoy juega el peor equipo del mundo
20,0020.mp3,Which is the nearest gas station?,¿Cuál es la gasolinera mas cercana?
21,0021.mp3,"I'm about to finish, give me 5 minutes",ya voy a terminar dame 5 minutos
22,0022.mp3,It's still working on that,Todavia está trabajando en eso
23,0023.mp3,"There's more supply than demand, so I want to take advantage of that",hay mas oferta que demanda por lo que quiero aprovechar eso
24,0024.mp3,Did someone come to pick it up? Or what happened?,¿alguien lo vino a recoger? O que paso?
25,0025.mp3,I keep thinking it's Saturday and it's Friday,Yo esoy pensando que es sabado y es viernes
26,0026.mp3,I have to check whether public transport runs tomorrow,Tengo que revisar a ver si el transporte publico trabaja mañana
27,0027.mp3,"When your wife leaves, you can work in peace",Cuando su mujer se vaya usted puede trabajar tranquilo
28,0028.mp3,Find my shoes for me,Busqueme los zapatos
29,0029.mp3,I need to send money to Venezuela,Necesito enviar dinero a venezuela
30,0030.mp3,Leave the baby alone,deje al bebe tranquilo
31,0031.mp3,"That's all for today, I'll continue tomorrow","Esta todo por hoy, mañana sigo"
32,0032.mp3,It was very hot,estaba haciendo mucho calor
33,0033.mp3,I prefer that to taking the keys with me,Prefiero eso a que llevarme las llaves
34,0034.mp3,The phrases I use the most,Las frases que mas uso
35,0035.mp3,I'm going for a walk with the dog,Me voy con el perro a caminar
36,0036.mp3,I think it's time to start using another model,Creo que es hora de empezar a usar otro modelo
37,0037.mp3,Take out the trash.,bota la basura.
38,0038.mp3,They're going to send a box to your house to put a computer in,van a enviar a tu casa un caja para meter un computador
39,0039.mp3,I was counting on carrying the computer back and forth,Yo contaba que el computador lo llevaba de aquí para allá
40,0040.mp3,Today they're going to drop off a box for you so you can send the computer next week,Ellos hoy te van a dejar una caja para poder enviar el computador la proxima semana
41,0041.mp3,"I arrived 45 minutes early but since I hadn't checked in, they didn't let me through","Yo llegue 45minutos antes pero como no habia hecho el check in, no me dejaron pasar"
42,0042.mp3,"I bought a ticket for 10 days from now and it came out cheap, with a big suitcase and everything","compre pasaje para dentro de 10 dias y me salio barato, con maleta grande y todo"
43,0043.mp3,That way I get a chance to watch the Champions League in peace,asi me da chanche de ver la champions tranquilo
44,0044.mp3,The glasses haven't arrived here,aquí no ha llegado lentes
45,0045.mp3,"I arrived a while ago, I lay down just for a bit and fell asleep for 4 hours","llegue hace rato, me acoste un ratico nada mas y me quede dormido 4 horas"
